timestamp,experiment_id,frame_id,motion_percent,num_rois,rois_json
2025-12-02T18:03:36.138Z,exp_1764698616138,75,61.2253,13,"[{""bbox"":[93,349,145,425]},{""bbox"":[218,321,270,367]},{""bbox"":[314,320,420,480]},{""bbox"":[279,286,321,323]},{""bbox"":[50,264,103,329]},{""bbox"":[353,18,414,95]},{""bbox"":[0,0,640,480]},{""bbox"":[475,0,525,43]},{""bbox"":[411,0,472,40]},{""bbox"":[263,0,347,69]},{""bbox"":[0,0,268,404]},{""bbox"":[479,54,543,118]},{""bbox"":[268,249,473,454]}]"
2025-12-02T18:03:36.593Z,exp_1764698616593,80,61.6608,7,"[{""bbox"":[280,429,304,475]},{""bbox"":[76,360,123,409]},{""bbox"":[90,294,141,339]},{""bbox"":[369,260,428,301]},{""bbox"":[0,0,640,480]},{""bbox"":[478,52,544,118]},{""bbox"":[265,248,472,455]}]"
2025-12-02T18:03:37.105Z,exp_1764698617105,85,61.6471,9,"[{""bbox"":[0,440,35,480]},{""bbox"":[88,300,130,346]},{""bbox"":[53,276,115,326]},{""bbox"":[106,24,162,80]},{""bbox"":[514,0,553,33]},{""bbox"":[0,0,640,480]},{""bbox"":[330,0,389,49]},{""bbox"":[0,0,314,428]},{""bbox"":[264,247,470,453]}]"
2025-12-02T18:03:37.656Z,exp_1764698617656,90,40.2887,8,"[{""bbox"":[319,319,401,480]},{""bbox"":[0,264,41,396]},{""bbox"":[0,188,45,264]},{""bbox"":[118,42,640,480]},{""bbox"":[0,34,30,146]},{""bbox"":[178,16,209,49]},{""bbox"":[36,0,104,27]},{""bbox"":[262,251,469,458]}]"
2025-12-02T18:03:38.115Z,exp_1764698618115,95,42.1673,11,"[{""bbox"":[358,419,393,480]},{""bbox"":[320,415,359,480]},{""bbox"":[296,320,428,418]},{""bbox"":[0,183,46,392]},{""bbox"":[0,44,44,145]},{""bbox"":[114,20,640,480]},{""bbox"":[179,14,209,49]},{""bbox"":[79,0,159,25]},{""bbox"":[0,0,76,31]},{""bbox"":[480,55,542,117]},{""bbox"":[267,254,470,457]}]"
2025-12-02T18:03:38.561Z,exp_1764698618561,100,40.2777,9,"[{""bbox"":[317,338,409,480]},{""bbox"":[167,250,185,337]},{""bbox"":[0,192,37,358]},{""bbox"":[0,45,37,142]},{""bbox"":[107,39,640,480]},{""bbox"":[0,1,55,44]},{""bbox"":[149,0,216,49]},{""bbox"":[57,0,148,28]},{""bbox"":[273,267,469,463]}]"
2025-12-02T18:03:39.008Z,exp_1764698619008,105,43.152,8,"[{""bbox"":[0,319,36,396]},{""bbox"":[0,188,39,318]},{""bbox"":[0,35,31,141]},{""bbox"":[125,26,640,480]},{""bbox"":[120,0,219,50]},{""bbox"":[0,0,99,30]},{""bbox"":[480,56,540,116]},{""bbox"":[267,257,471,461]}]"
2025-12-02T18:03:39.460Z,exp_1764698619460,110,19.7572,8,"[{""bbox"":[491,424,519,480]},{""bbox"":[538,391,574,435]},{""bbox"":[320,316,402,442]},{""bbox"":[494,276,521,340]},{""bbox"":[489,232,517,282]},{""bbox"":[250,164,485,479]},{""bbox"":[445,46,640,451]},{""bbox"":[264,245,465,446]}]"
2025-12-02T18:03:39.904Z,exp_1764698619904,115,32.2259,8,"[{""bbox"":[313,313,403,480]},{""bbox"":[0,287,32,346]},{""bbox"":[0,190,37,285]},{""bbox"":[0,46,31,147]},{""bbox"":[125,39,640,480]},{""bbox"":[179,14,209,51]},{""bbox"":[480,56,541,117]},{""bbox"":[258,246,453,441]}]"
2025-12-02T18:03:40.352Z,exp_1764698620352,120,61.7516,12,"[{""bbox"":[255,432,297,469]},{""bbox"":[94,361,161,420]},{""bbox"":[311,262,402,301]},{""bbox"":[169,187,210,283]},{""bbox"":[214,65,276,99]},{""bbox"":[306,64,363,99]},{""bbox"":[258,61,298,121]},{""bbox"":[107,28,164,85]},{""bbox"":[72,0,640,480]},{""bbox"":[425,0,483,35]},{""bbox"":[0,0,282,480]},{""bbox"":[253,244,454,445]}]"
2025-12-02T18:03:40.817Z,exp_1764698620817,125,42.5475,7,"[{""bbox"":[0,318,40,388]},{""bbox"":[0,191,36,317]},{""bbox"":[0,45,35,146]},{""bbox"":[119,25,640,480]},{""bbox"":[175,17,211,49]},{""bbox"":[20,0,150,29]},{""bbox"":[257,246,457,446]}]"
